Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2023-10-20,3710.0,3603.0,3616.0,3694,20399.0,2023-10-20
2023-10-23,3786.0,3715.0,3726.0,3759,20738.0,2023-10-23
2023-10-24,3778.0,3701.0,3774.0,3729,23275.0,2023-10-24
2023-10-25,3781.0,3716.0,3722.0,3735,19776.0,2023-10-25
2023-10-26,3837.0,3732.0,3739.0,3810,22206.0,2023-10-26
2023-10-27,3871.0,3808.0,3812.0,3852,22900.0,2023-10-27
2023-10-30,3880.0,3810.0,3860.0,3826,16837.0,2023-10-30
2023-10-31,3874.0,3795.0,3839.0,3817,22845.0,2023-10-31
2023-11-01,3825.0,3781.0,3806.0,3794,16708.0,2023-11-01
2023-11-02,3867.0,3809.0,3810.0,3865,19046.0,2023-11-02
2023-11-03,3906.0,3823.0,3859.0,3898,25573.0,2023-11-03
2023-11-06,3954.0,3865.0,3900.0,3914,45901.0,2023-11-06
2023-11-07,3969.0,3866.0,3935.0,3883,34321.0,2023-11-07
2023-11-08,3933.0,3844.0,3885.0,3916,35999.0,2023-11-08
2023-11-09,3974.0,3924.0,3935.0,3949,19754.0,2023-11-09
2023-11-10,4012.0,3942.0,3942.0,3991,18417.0,2023-11-10
2023-11-13,4060.0,3990.0,3998.0,4051,12766.0,2023-11-13
2023-11-14,4110.0,3914.0,4067.0,3946,21864.0,2023-11-14
2023-11-15,3969.0,3886.0,3925.0,3939,10180.0,2023-11-15
2023-11-16,4040.0,3974.0,3974.0,4004,7246.0,2023-11-16
2023-11-17,4091.0,4002.0,4003.0,4083,8589.0,2023-11-17
2023-11-20,4099.0,4021.0,4069.0,4034,10602.0,2023-11-20
2023-11-21,4267.0,4046.0,4050.0,4227,9761.0,2023-11-21
2023-11-22,4260.0,4160.0,4253.0,4173,713.0,2023-11-22
2023-11-24,4251.0,4235.0,4251.0,4219,33.0,2023-11-24
2023-11-27,4267.0,4220.0,4220.0,4260,321.0,2023-11-27
2023-11-28,4381.0,4263.0,4291.0,4370,86.0,2023-11-28
2023-11-29,4419.0,4375.0,4375.0,4438,12.0,2023-11-29
2023-11-30,4463.0,4428.0,4428.0,4475,15.0,2023-11-30
2023-12-01,4428.0,4399.0,4428.0,4398,14.0,2023-12-01
2023-12-04,4253.0,4253.0,4253.0,4271,15.0,2023-12-04
2023-12-05,4240.0,4240.0,4240.0,4206,7.0,2023-12-05
2023-12-06,4230.0,4206.0,4206.0,4241,39.0,2023-12-06
2023-12-07,4366.0,4366.0,4366.0,4340,1.0,2023-12-07
2023-12-08,,,,4381,,2023-12-08
2023-12-11,4419.0,4388.0,4419.0,4351,5.0,2023-12-11
2023-12-12,4478.0,4456.0,4478.0,4375,6.0,2023-12-12
2023-12-13,,,,4395,,2023-12-13
2023-12-14,4317.0,4237.0,4270.0,4267,25216.0,2023-12-14
2023-12-15,4282.0,4231.0,4273.0,4244,19048.0,2023-12-15
2023-12-18,4307.0,4241.0,4255.0,4271,18493.0,2023-12-18
2023-12-19,4307.0,4254.0,4285.0,4289,16193.0,2023-12-19
2023-12-20,4334.0,4271.0,4288.0,4309,16998.0,2023-12-20
2023-12-21,4320.0,4267.0,4300.0,4288,20606.0,2023-12-21
2023-12-22,4325.0,4275.0,4277.0,4311,12715.0,2023-12-22
2023-12-26,4343.0,4276.0,4320.0,4283,9121.0,2023-12-26
2023-12-27,4315.0,4277.0,4296.0,4280,12495.0,2023-12-27
2023-12-28,4302.0,4235.0,4288.0,4256,16113.0,2023-12-28
2023-12-29,4256.0,4193.0,4256.0,4196,18596.0,2023-12-29
2024-01-02,4287.0,4200.0,4209.0,4275,24130.0,2024-01-02
2024-01-03,4273.0,4204.0,4265.0,4238,25190.0,2024-01-03
2024-01-04,4267.0,4232.0,4233.0,4260,15720.0,2024-01-04
2024-01-05,4274.0,4194.0,4260.0,4204,19627.0,2024-01-05
2024-01-08,4194.0,4034.0,4194.0,4094,53188.0,2024-01-08
2024-01-09,4202.0,4092.0,4110.0,4162,28725.0,2024-01-09
2024-01-10,4235.0,4156.0,4171.0,4206,22852.0,2024-01-10
2024-01-11,4280.0,4199.0,4210.0,4274,24520.0,2024-01-11
2024-01-12,4358.0,4285.0,4290.0,4323,30064.0,2024-01-12
2024-01-16,4448.0,4321.0,4355.0,4429,35655.0,2024-01-16
2024-01-17,4478.0,4406.0,4420.0,4448,27594.0,2024-01-17
2024-01-18,4497.0,4415.0,4428.0,4458,29379.0,2024-01-18
2024-01-19,4607.0,4479.0,4499.0,4583,39687.0,2024-01-19
2024-01-22,4607.0,4529.0,4589.0,4565,27707.0,2024-01-22
2024-01-23,4835.0,4570.0,4570.0,4634,50898.0,2024-01-23
2024-01-24,4808.0,4658.0,4679.0,4785,36933.0,2024-01-24
2024-01-25,4840.0,4610.0,4815.0,4625,44374.0,2024-01-25
2024-01-26,4696.0,4614.0,4650.0,4672,25005.0,2024-01-26
2024-01-29,4755.0,4632.0,4679.0,4732,29981.0,2024-01-29
2024-01-30,4843.0,4712.0,4743.0,4805,33961.0,2024-01-30
2024-01-31,4869.0,4770.0,4795.0,4822,25256.0,2024-01-31
2024-02-01,4981.0,4828.0,4832.0,4956,36184.0,2024-02-01
2024-02-02,5032.0,4939.0,4990.0,5009,37945.0,2024-02-02
2024-02-05,5249.0,5010.0,5035.0,5189,37591.0,2024-02-05
2024-02-06,5288.0,5133.0,5244.0,5220,36089.0,2024-02-06
2024-02-07,5429.0,5194.0,5219.0,5410,42231.0,2024-02-07
2024-02-08,5874.0,5451.0,5488.0,5805,37991.0,2024-02-08
2024-02-09,6030.0,5528.0,5900.0,5888,35319.0,2024-02-09
2024-02-12,5958.0,5773.0,5868.0,5860,16137.0,2024-02-12
2024-02-13,6029.0,5815.0,5828.0,6001,12137.0,2024-02-13
2024-02-14,6039.0,5812.0,6008.0,5949,9014.0,2024-02-14
2024-02-15,6030.0,5888.0,5956.0,5961,6096.0,2024-02-15
2024-02-16,5964.0,5689.0,5947.0,5706,10725.0,2024-02-16
2024-02-20,6069.0,5750.0,5750.0,5999,6822.0,2024-02-20
2024-02-21,6311.0,6022.0,6050.0,6198,2545.0,2024-02-21
2024-02-22,6340.0,5961.0,6336.0,6169,843.0,2024-02-22
2024-02-23,6750.0,6033.0,6033.0,6562,83.0,2024-02-23
2024-02-26,6929.0,6650.0,6765.0,6884,42.0,2024-02-26
2024-02-27,6893.0,6743.0,6780.0,6755,8.0,2024-02-27
2024-02-28,6590.0,6362.0,6590.0,6380,7.0,2024-02-28
2024-02-29,6466.0,6413.0,6413.0,6510,319.0,2024-02-29
2024-03-01,6769.0,6769.0,6769.0,6826,5.0,2024-03-01
2024-03-04,,,,7057,,2024-03-04
2024-03-05,7000.0,7000.0,7000.0,6970,1.0,2024-03-05
2024-03-06,,,,7170,,2024-03-06
2024-03-07,7000.0,7000.0,7000.0,7054,1.0,2024-03-07
2024-03-08,6928.0,6928.0,6928.0,6997,1.0,2024-03-08
2024-03-11,,,,7329,,2024-03-11
2024-03-12,7974.0,7890.0,7890.0,8048,8.0,2024-03-12
2024-03-13,,,,8034,,2024-03-13
2024-03-14,7715.0,7063.0,7185.0,7405,29410.0,2024-03-14
2024-03-15,8186.0,7357.0,7435.0,8018,25580.0,2024-03-15
2024-03-18,8493.0,7824.0,8179.0,8172,32655.0,2024-03-18
2024-03-19,8412.0,7963.0,8188.0,8027,19138.0,2024-03-19
2024-03-20,8429.0,7716.0,7920.0,8324,23723.0,2024-03-20
2024-03-21,8653.0,8149.0,8395.0,8559,21272.0,2024-03-21
2024-03-22,8960.0,8465.0,8573.0,8939,16403.0,2024-03-22
2024-03-25,9684.0,8889.0,8921.0,9649,19698.0,2024-03-25
2024-03-26,10080.0,9574.0,9847.0,9622,26263.0,2024-03-26
2024-03-27,9917.0,9267.0,9509.0,9843,23291.0,2024-03-27
2024-03-28,10014.0,9671.0,9906.0,9766,17953.0,2024-03-28
2024-04-01,10318.0,9632.0,9720.0,10120,11594.0,2024-04-01
2024-04-02,10324.0,9808.0,10186.0,9949,19824.0,2024-04-02
2024-04-03,10044.0,9406.0,9858.0,9524,23087.0,2024-04-03
2024-04-04,9644.0,9150.0,9389.0,9462,14914.0,2024-04-04
2024-04-05,9990.0,9480.0,9668.0,9795,16993.0,2024-04-05
2024-04-08,10443.0,9669.0,9953.0,9895,22946.0,2024-04-08
2024-04-09,10321.0,9653.0,9717.0,10204,15144.0,2024-04-09
2024-04-10,10629.0,10148.0,10300.0,10411,10866.0,2024-04-10
2024-04-11,10771.0,10319.0,10445.0,10373,12639.0,2024-04-11
2024-04-12,11039.0,10357.0,10400.0,10987,6464.0,2024-04-12
2024-04-15,11206.0,10830.0,10884.0,11001,5550.0,2024-04-15
2024-04-16,11085.0,9988.0,11063.0,10243,4386.0,2024-04-16
2024-04-17,10630.0,10100.0,10173.0,10340,5414.0,2024-04-17
2024-04-18,11388.0,10530.0,10620.0,11311,5542.0,2024-04-18
2024-04-19,12261.0,11132.0,11504.0,11878,2808.0,2024-04-19
2024-04-22,12136.0,10929.0,11967.0,11166,1652.0,2024-04-22
2024-04-23,10835.0,10221.0,10803.0,10584,3530.0,2024-04-23
2024-04-24,11600.0,10835.0,10835.0,11043,19.0,2024-04-24
2024-04-25,11530.0,10800.0,11530.0,10988,6.0,2024-04-25
2024-04-26,10975.0,10973.0,10973.0,10729,8.0,2024-04-26
2024-04-29,10327.0,9958.0,10327.0,9983,30.0,2024-04-29
2024-04-30,10115.0,8651.0,9610.0,10133,18.0,2024-04-30
2024-05-01,9206.0,8930.0,9206.0,9183,15.0,2024-05-01
2024-05-02,8750.0,8240.0,8750.0,8483,22.0,2024-05-02
2024-05-03,8550.0,8513.0,8550.0,8505,10.0,2024-05-03
2024-05-06,8570.0,8570.0,8570.0,8571,4.0,2024-05-06
2024-05-07,,,,9593,,2024-05-07
2024-05-08,,,,9617,,2024-05-08
2024-05-09,,,,9678,,2024-05-09
2024-05-10,,,,9874,,2024-05-10
2024-05-13,,,,8149,,2024-05-13
2024-05-14,9000.0,9000.0,9000.0,8751,1.0,2024-05-14
2024-05-15,,,,9066,,2024-05-15
2024-05-16,7951.0,7202.0,7896.0,7393,11580.0,2024-05-16
2024-05-17,7685.0,7137.0,7350.0,7348,7907.0,2024-05-17
2024-05-20,7373.0,6767.0,7277.0,7216,10261.0,2024-05-20
2024-05-21,7492.0,6910.0,7077.0,7394,7994.0,2024-05-21
2024-05-22,7638.0,7273.0,7372.0,7536,8462.0,2024-05-22
2024-05-23,8400.0,7323.0,7423.0,8109,14084.0,2024-05-23
2024-05-24,8436.0,7869.0,8219.0,8294,10974.0,2024-05-24
2024-05-28,8800.0,7942.0,8200.0,8780,15093.0,2024-05-28
2024-05-29,9460.0,8690.0,8730.0,9309,14757.0,2024-05-29
2024-05-30,9550.0,9054.0,9278.0,9257,9201.0,2024-05-30
2024-05-31,9420.0,9031.0,9242.0,9331,8033.0,2024-05-31
2024-06-03,10047.0,9181.0,9331.0,9775,17665.0,2024-06-03
2024-06-04,9697.0,9162.0,9446.0,9557,14149.0,2024-06-04
2024-06-05,9642.0,9103.0,9410.0,9408,12615.0,2024-06-05
2024-06-06,9987.0,9566.0,9600.0,9872,11501.0,2024-06-06
2024-06-07,10098.0,9812.0,9865.0,9933,15344.0,2024-06-07
2024-06-10,10038.0,9411.0,9933.0,9687,9152.0,2024-06-10
2024-06-11,10055.0,9597.0,9597.0,9910,9207.0,2024-06-11
2024-06-12,10640.0,9950.0,10088.0,10539,7296.0,2024-06-12
2024-06-13,11000.0,10491.0,10595.0,10810,4837.0,2024-06-13
2024-06-14,10850.0,9567.0,10784.0,10294,2946.0,2024-06-14
2024-06-17,10307.0,9477.0,10225.0,9659,3308.0,2024-06-17
2024-06-18,10014.0,9531.0,9628.0,9938,2336.0,2024-06-18
2024-06-20,10295.0,9319.0,9910.0,9598,2143.0,2024-06-20
2024-06-21,9725.0,8600.0,9280.0,8995,1568.0,2024-06-21
2024-06-24,8864.0,7882.0,8792.0,7978,28.0,2024-06-24
2024-06-25,8144.0,7521.0,8144.0,7967,7.0,2024-06-25
2024-06-26,7950.0,7500.0,7950.0,7797,5.0,2024-06-26
2024-06-27,7500.0,7361.0,7500.0,7397,9.0,2024-06-27
2024-06-28,7692.0,7692.0,7692.0,7729,1.0,2024-06-28
2024-07-01,7500.0,7500.0,7500.0,7352,1.0,2024-07-01
2023-12-01,4428.0,4399.0,4428.0,4398,14.0,2023-12-01
2023-12-04,4253.0,4253.0,4253.0,4271,15.0,2023-12-04
2023-12-05,4240.0,4240.0,4240.0,4206,7.0,2023-12-05
2023-12-06,4230.0,4206.0,4206.0,4241,39.0,2023-12-06
2023-12-07,4366.0,4366.0,4366.0,4340,1.0,2023-12-07
2023-12-08,,,,4381,,2023-12-08
2023-12-11,4419.0,4388.0,4419.0,4351,5.0,2023-12-11
2023-12-12,4478.0,4456.0,4478.0,4375,6.0,2023-12-12
2023-12-13,,,,4395,,2023-12-13
2023-12-14,4317.0,4237.0,4270.0,4267,25216.0,2023-12-14
2023-12-15,4282.0,4231.0,4273.0,4244,19048.0,2023-12-15
2023-12-18,4307.0,4241.0,4255.0,4271,18493.0,2023-12-18
2023-12-19,4307.0,4254.0,4285.0,4289,16193.0,2023-12-19
2023-12-20,4334.0,4271.0,4288.0,4309,16998.0,2023-12-20
2023-12-21,4320.0,4267.0,4300.0,4288,20606.0,2023-12-21
2023-12-22,4325.0,4275.0,4277.0,4311,12715.0,2023-12-22
2023-12-26,4343.0,4276.0,4320.0,4283,9121.0,2023-12-26
2023-12-27,4315.0,4277.0,4296.0,4280,12495.0,2023-12-27
2023-12-28,4302.0,4235.0,4288.0,4256,16113.0,2023-12-28
2023-12-29,4256.0,4193.0,4256.0,4196,18596.0,2023-12-29
2024-01-02,4287.0,4200.0,4209.0,4275,24130.0,2024-01-02
2024-01-03,4273.0,4204.0,4265.0,4238,25190.0,2024-01-03
2024-01-04,4267.0,4232.0,4233.0,4260,15720.0,2024-01-04
2024-01-05,4274.0,4194.0,4260.0,4204,19627.0,2024-01-05
2024-01-08,4194.0,4034.0,4194.0,4094,53188.0,2024-01-08
2024-01-09,4202.0,4092.0,4110.0,4162,28725.0,2024-01-09
2024-01-10,4235.0,4156.0,4171.0,4206,22852.0,2024-01-10
2024-01-11,4280.0,4199.0,4210.0,4274,24520.0,2024-01-11
2024-01-12,4358.0,4285.0,4290.0,4323,30064.0,2024-01-12
2024-01-16,4448.0,4321.0,4355.0,4429,35655.0,2024-01-16
2024-01-17,4478.0,4406.0,4420.0,4448,27594.0,2024-01-17
2024-01-18,4497.0,4415.0,4428.0,4458,29379.0,2024-01-18
2024-01-19,4607.0,4479.0,4499.0,4583,39687.0,2024-01-19
2024-01-22,4607.0,4529.0,4589.0,4565,27707.0,2024-01-22
2024-01-23,4835.0,4570.0,4570.0,4634,50898.0,2024-01-23
2024-01-24,4808.0,4658.0,4679.0,4785,36933.0,2024-01-24
2024-01-25,4840.0,4610.0,4815.0,4625,44374.0,2024-01-25
2024-01-26,4696.0,4614.0,4650.0,4672,25005.0,2024-01-26
2024-01-29,4755.0,4632.0,4679.0,4732,29981.0,2024-01-29
2024-01-30,4843.0,4712.0,4743.0,4805,33961.0,2024-01-30
2024-01-31,4869.0,4770.0,4795.0,4822,25256.0,2024-01-31
2024-02-01,4981.0,4828.0,4832.0,4956,36184.0,2024-02-01
2024-02-02,5032.0,4939.0,4990.0,5009,37945.0,2024-02-02
2024-02-05,5249.0,5010.0,5035.0,5189,37591.0,2024-02-05
2024-02-06,5288.0,5133.0,5244.0,5220,36089.0,2024-02-06
2024-02-07,5429.0,5194.0,5219.0,5410,42231.0,2024-02-07
2024-02-08,5874.0,5451.0,5488.0,5805,37991.0,2024-02-08
2024-02-09,6030.0,5528.0,5900.0,5888,35319.0,2024-02-09
2024-02-12,5958.0,5773.0,5868.0,5860,16137.0,2024-02-12
2024-02-13,6029.0,5815.0,5828.0,6001,12137.0,2024-02-13
2024-02-14,6039.0,5812.0,6008.0,5949,9014.0,2024-02-14
2024-02-15,6030.0,5888.0,5956.0,5961,6096.0,2024-02-15
2024-02-16,5964.0,5689.0,5947.0,5706,10725.0,2024-02-16
2024-02-20,6069.0,5750.0,5750.0,5999,6822.0,2024-02-20
2024-02-21,6311.0,6022.0,6050.0,6198,2545.0,2024-02-21
2024-02-22,6340.0,5961.0,6336.0,6169,843.0,2024-02-22
2024-02-23,6750.0,6033.0,6033.0,6562,83.0,2024-02-23
2024-02-26,6929.0,6650.0,6765.0,6884,42.0,2024-02-26
2024-02-27,6893.0,6743.0,6780.0,6755,8.0,2024-02-27
2024-02-28,6590.0,6362.0,6590.0,6380,7.0,2024-02-28
2024-02-29,6466.0,6413.0,6413.0,6510,319.0,2024-02-29
2024-03-01,6769.0,6769.0,6769.0,6826,5.0,2024-03-01
2024-03-04,,,,7057,,2024-03-04
2024-03-05,7000.0,7000.0,7000.0,6970,1.0,2024-03-05
2024-03-06,,,,7170,,2024-03-06
2024-03-07,7000.0,7000.0,7000.0,7054,1.0,2024-03-07
2024-03-08,6928.0,6928.0,6928.0,6997,1.0,2024-03-08
2024-03-11,,,,7329,,2024-03-11
2024-03-12,7974.0,7890.0,7890.0,8048,8.0,2024-03-12
2024-03-13,,,,8034,,2024-03-13
2024-03-14,7715.0,7063.0,7185.0,7405,29410.0,2024-03-14
2024-03-15,8186.0,7357.0,7435.0,8018,25580.0,2024-03-15
2024-03-18,8493.0,7824.0,8179.0,8172,32655.0,2024-03-18
2024-03-19,8412.0,7963.0,8188.0,8027,19138.0,2024-03-19
2024-03-20,8429.0,7716.0,7920.0,8324,23723.0,2024-03-20
2024-03-21,8653.0,8149.0,8395.0,8559,21272.0,2024-03-21
2024-03-22,8960.0,8465.0,8573.0,8939,16403.0,2024-03-22
2024-03-25,9684.0,8889.0,8921.0,9649,19698.0,2024-03-25
2024-03-26,10080.0,9574.0,9847.0,9622,26263.0,2024-03-26
2024-03-27,9917.0,9267.0,9509.0,9843,23291.0,2024-03-27
2024-03-28,10014.0,9671.0,9906.0,9766,17953.0,2024-03-28
2024-04-01,10318.0,9632.0,9720.0,10120,11594.0,2024-04-01
2024-04-02,10324.0,9808.0,10186.0,9949,19824.0,2024-04-02
2024-04-03,10044.0,9406.0,9858.0,9524,23087.0,2024-04-03
2024-04-04,9644.0,9150.0,9389.0,9462,14914.0,2024-04-04
2024-04-05,9990.0,9480.0,9668.0,9795,16993.0,2024-04-05
2024-04-08,10443.0,9669.0,9953.0,9895,22946.0,2024-04-08
2024-04-09,10321.0,9653.0,9717.0,10204,15144.0,2024-04-09
2024-04-10,10629.0,10148.0,10300.0,10411,10866.0,2024-04-10
2024-04-11,10771.0,10319.0,10445.0,10373,12639.0,2024-04-11
2024-04-12,11039.0,10357.0,10400.0,10987,6464.0,2024-04-12
2024-04-15,11206.0,10830.0,10884.0,11001,5550.0,2024-04-15
2024-04-16,11085.0,9988.0,11063.0,10243,4386.0,2024-04-16
2024-04-17,10630.0,10100.0,10173.0,10340,5414.0,2024-04-17
2024-04-18,11388.0,10530.0,10620.0,11311,5542.0,2024-04-18
2024-04-19,12261.0,11132.0,11504.0,11878,2808.0,2024-04-19
2024-04-22,12136.0,10929.0,11967.0,11166,1652.0,2024-04-22
2024-04-23,10835.0,10221.0,10803.0,10584,3530.0,2024-04-23
2024-04-24,11600.0,10835.0,10835.0,11043,19.0,2024-04-24
2024-04-25,11530.0,10800.0,11530.0,10988,6.0,2024-04-25
2024-04-26,10975.0,10973.0,10973.0,10729,8.0,2024-04-26
2024-04-29,10327.0,9958.0,10327.0,9983,30.0,2024-04-29
2024-04-30,10115.0,8651.0,9610.0,10133,18.0,2024-04-30
2024-05-01,9206.0,8930.0,9206.0,9183,15.0,2024-05-01
2024-05-02,8750.0,8240.0,8750.0,8483,22.0,2024-05-02
2024-05-03,8550.0,8513.0,8550.0,8505,10.0,2024-05-03
2024-05-06,8570.0,8570.0,8570.0,8571,4.0,2024-05-06
2024-05-07,,,,9593,,2024-05-07
2024-05-08,,,,9617,,2024-05-08
2024-05-09,,,,9678,,2024-05-09
2024-05-10,,,,9874,,2024-05-10
2024-05-13,,,,8149,,2024-05-13
2024-05-14,9000.0,9000.0,9000.0,8751,1.0,2024-05-14
2024-05-15,,,,9066,,2024-05-15
2024-05-16,7951.0,7202.0,7896.0,7393,11580.0,2024-05-16
2024-05-17,7685.0,7137.0,7350.0,7348,7907.0,2024-05-17
2024-05-20,7373.0,6767.0,7277.0,7216,10261.0,2024-05-20
2024-05-21,7492.0,6910.0,7077.0,7394,7994.0,2024-05-21
2024-05-22,7638.0,7273.0,7372.0,7536,8462.0,2024-05-22
2024-05-23,8400.0,7323.0,7423.0,8109,14084.0,2024-05-23
2024-05-24,8436.0,7869.0,8219.0,8294,10974.0,2024-05-24
2024-05-28,8800.0,7942.0,8200.0,8780,15093.0,2024-05-28
2024-05-29,9460.0,8690.0,8730.0,9309,14757.0,2024-05-29
2024-05-30,9550.0,9054.0,9278.0,9257,9201.0,2024-05-30
2024-05-31,9420.0,9031.0,9242.0,9331,8033.0,2024-05-31
2024-06-03,10047.0,9181.0,9331.0,9775,17665.0,2024-06-03
2024-06-04,9697.0,9162.0,9446.0,9557,14149.0,2024-06-04
2024-06-05,9642.0,9103.0,9410.0,9408,12615.0,2024-06-05
2024-06-06,9987.0,9566.0,9600.0,9872,11501.0,2024-06-06
2024-06-07,10098.0,9812.0,9865.0,9933,15344.0,2024-06-07
2024-06-10,10038.0,9411.0,9933.0,9687,9152.0,2024-06-10
2024-06-11,10055.0,9597.0,9597.0,9910,9207.0,2024-06-11
2024-06-12,10640.0,9950.0,10088.0,10539,7296.0,2024-06-12
2024-06-13,11000.0,10491.0,10595.0,10810,4837.0,2024-06-13
2024-06-14,10850.0,9567.0,10784.0,10294,2946.0,2024-06-14
2024-06-17,10307.0,9477.0,10225.0,9659,3308.0,2024-06-17
2024-06-18,10014.0,9531.0,9628.0,9938,2336.0,2024-06-18
2024-06-20,10295.0,9319.0,9910.0,9598,2143.0,2024-06-20
2024-06-21,9725.0,8600.0,9280.0,8995,1568.0,2024-06-21
2024-06-24,8864.0,7882.0,8792.0,7978,28.0,2024-06-24
2024-06-25,8144.0,7521.0,8144.0,7967,7.0,2024-06-25
2024-06-26,7950.0,7500.0,7950.0,7797,5.0,2024-06-26
2024-06-27,7500.0,7361.0,7500.0,7397,9.0,2024-06-27
2024-06-28,7692.0,7692.0,7692.0,7729,1.0,2024-06-28
2024-07-01,7500.0,7500.0,7500.0,7352,1.0,2024-07-01
2024-07-02,7497.0,7245.0,7249.0,7773,412.0,2024-07-02
2024-07-03,,,,7811,,2024-07-03
2024-07-05,7740.0,7718.0,7718.0,7721,10.0,2024-07-05
2024-07-08,7721.0,7720.0,7721.0,7693,3.0,2024-07-08
2024-07-09,8430.0,8430.0,8430.0,8023,1.0,2024-07-09
2024-07-10,,,,8197,,2024-07-10
2024-07-11,8325.0,8325.0,8325.0,8441,1.0,2024-07-11
2024-07-12,,,,8523,,2024-07-12
2024-07-15,8399.0,8399.0,8399.0,8463,1.0,2024-07-15
2024-07-16,,,,8320,,2024-07-16
2024-07-17,7968.0,7600.0,7963.0,7763,10306.0,2024-07-17
2024-07-18,8171.0,7690.0,7806.0,8068,9181.0,2024-07-18
2024-07-19,8321.0,7618.0,8185.0,7689,9291.0,2024-07-19
2024-07-22,8450.0,7720.0,7725.0,8398,11876.0,2024-07-22
2024-07-23,8395.0,8181.0,8249.0,8286,6276.0,2024-07-23
2024-07-24,8485.0,8123.0,8225.0,8227,10226.0,2024-07-24
2024-07-25,8201.0,7770.0,8201.0,7805,8448.0,2024-07-25
2024-07-26,8099.0,7719.0,7785.0,8038,8417.0,2024-07-26
2024-07-29,8001.0,7640.0,8001.0,7716,11261.0,2024-07-29
2024-07-30,8232.0,7700.0,7778.0,8136,11585.0,2024-07-30
2024-07-31,8250.0,7960.0,8125.0,8092,8340.0,2024-07-31
2024-08-01,8047.0,7523.0,8023.0,7562,12323.0,2024-08-01
2024-08-02,7689.0,7419.0,7621.0,7520,11475.0,2024-08-02
2024-08-05,8100.0,7339.0,7440.0,7901,13965.0,2024-08-05
2024-08-06,8365.0,7913.0,7960.0,8223,11629.0,2024-08-06
2024-08-07,9030.0,8223.0,8271.0,8586,14297.0,2024-08-07
2024-08-08,8792.0,8050.0,8651.0,8178,11842.0,2024-08-08
2024-08-09,9226.0,8397.0,8457.0,9098,8871.0,2024-08-09
2024-08-12,9079.0,8639.0,9000.0,8731,8295.0,2024-08-12
2024-08-13,9079.0,8555.0,8908.0,8862,7909.0,2024-08-13
2024-08-14,8972.0,8649.0,8964.0,8833,4032.0,2024-08-14
2024-08-15,9021.0,8357.0,8809.0,8485,4510.0,2024-08-15
2024-08-16,8968.0,8399.0,8524.0,8637,2728.0,2024-08-16
2024-08-19,9440.0,8649.0,8777.0,9173,3597.0,2024-08-19
2024-08-20,9519.0,9045.0,9114.0,9486,1891.0,2024-08-20
2024-08-21,9793.0,9400.0,9545.0,9582,2811.0,2024-08-21
2024-08-22,9744.0,9348.0,9612.0,9689,2362.0,2024-08-22
2024-08-23,9899.0,9494.0,9700.0,9821,999.0,2024-08-23
2024-08-26,9900.0,9715.0,9850.0,9880,53.0,2024-08-26
2024-08-27,9934.0,9787.0,9934.0,9785,35.0,2024-08-27
2024-08-28,9930.0,9624.0,9700.0,9730,11.0,2024-08-28
2024-08-29,9671.0,9515.0,9593.0,9600,13.0,2024-08-29
2024-08-30,9812.0,9645.0,9707.0,9666,23.0,2024-08-30
2024-02-01,4981.0,4828.0,4832.0,4956,36184.0,2024-02-01
2024-02-02,5032.0,4939.0,4990.0,5009,37945.0,2024-02-02
2024-02-05,5249.0,5010.0,5035.0,5189,37591.0,2024-02-05
2024-02-06,5288.0,5133.0,5244.0,5220,36089.0,2024-02-06
2024-02-07,5429.0,5194.0,5219.0,5410,42231.0,2024-02-07
2024-02-08,5874.0,5451.0,5488.0,5805,37991.0,2024-02-08
2024-02-09,6030.0,5528.0,5900.0,5888,35319.0,2024-02-09
2024-02-12,5958.0,5773.0,5868.0,5860,16137.0,2024-02-12
2024-02-13,6029.0,5815.0,5828.0,6001,12137.0,2024-02-13
2024-02-14,6039.0,5812.0,6008.0,5949,9014.0,2024-02-14
2024-02-15,6030.0,5888.0,5956.0,5961,6096.0,2024-02-15
2024-02-16,5964.0,5689.0,5947.0,5706,10725.0,2024-02-16
2024-02-20,6069.0,5750.0,5750.0,5999,6822.0,2024-02-20
2024-02-21,6311.0,6022.0,6050.0,6198,2545.0,2024-02-21
2024-02-22,6340.0,5961.0,6336.0,6169,843.0,2024-02-22
2024-02-23,6750.0,6033.0,6033.0,6562,83.0,2024-02-23
2024-02-26,6929.0,6650.0,6765.0,6884,42.0,2024-02-26
2024-02-27,6893.0,6743.0,6780.0,6755,8.0,2024-02-27
2024-02-28,6590.0,6362.0,6590.0,6380,7.0,2024-02-28
2024-02-29,6466.0,6413.0,6413.0,6510,319.0,2024-02-29
2024-03-01,6769.0,6769.0,6769.0,6826,5.0,2024-03-01
2024-03-04,,,,7057,,2024-03-04
2024-03-05,7000.0,7000.0,7000.0,6970,1.0,2024-03-05
2024-03-06,,,,7170,,2024-03-06
2024-03-07,7000.0,7000.0,7000.0,7054,1.0,2024-03-07
2024-03-08,6928.0,6928.0,6928.0,6997,1.0,2024-03-08
2024-03-11,,,,7329,,2024-03-11
2024-03-12,7974.0,7890.0,7890.0,8048,8.0,2024-03-12
2024-03-13,,,,8034,,2024-03-13
2024-03-14,7715.0,7063.0,7185.0,7405,29410.0,2024-03-14
2024-03-15,8186.0,7357.0,7435.0,8018,25580.0,2024-03-15
